Type,Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Date ,Time,Location,AQ in map,Description,Site
Good Site,08/22/2020 16:35:25,28.84,38.36,3.2,4.9,5.3,34.5,32562.8,-2.39,32584.3,100484.5,45.383212,-75.73704,,,,,,1,22-Aug-20,16:35:25,Thames/Meast,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Thames/Meast,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Thames/Meast,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Thames/Meast,Low Risk,,Good
Average,,28.84,38.36,3.2,4.9,5.3,34.5,32562.8,-2.39,32584.3,100484.5,45.383212,-75.73704,,,,,,,,,Thames/Meast,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 9,8:33:46,23.85,65.74,4.04,6.1,6.31,71.79,32484.11,139.83,32486.5,100511.76,45.393367,-75.683854,,,,,,1,17-Aug-20,8:33:46,Hopewell av/ Bank - Hopewell avenue public school,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Low Risk,,Bad
Average,,23.85,65.74,4.04,6.1,6.31,71.79,32484.11,139.83,32486.5,100511.76,45.393367,-75.683854,,,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Low Risk,,Bad
Good Site,8:43:54,22.81,68.47,2.83,4.2,4.57,36.79,32508.13,129.85,32490.27,100583.9,45.39268,-75.685342,,,,,,1,17-Aug-20,8:43:54,Hopewell/Grosvenor (47 Hopewell),Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Hopewell/Grosvenor (47 Hopewell),Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Hopewell/Grosvenor (47 Hopewell),Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Hopewell/Grosvenor (47 Hopewell),Low Risk,,Good
Average,,22.81,68.47,2.83,4.2,4.57,36.79,32508.13,129.85,32490.27,100583.9,45.39268,-75.685342,,,,,,,,,Hopewell/Grosvenor (47 Hopewell),Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 10,08/22/2020 9:40:10,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,22-Aug-20,9:40:10,St Anne/MontrŽal - Mega Shelter,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,St Anne/MontrŽal - Mega Shelter,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,St Anne/MontrŽal - Mega Shelter,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,St Anne/Montréal - Mega Shelter,Low Risk,,Bad
Average,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,,,,St Anne/MontrŽal - Mega Shelter,Low Risk,,Bad
Good Site,08/22/2020 9:41:33,23.6,50.75,1.17,2.1,2.57,62.77,32542.87,98,32542.73,100738.23,45.439052,-75.658895,,,,,,1,22-Aug-20,9:41:33,St. Anne/ Monfort Vanier,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,St. Anne/ Monfort Vanier,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,St. Anne/ Monfort Vanier,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,St. Anne/ Monfort Vanier,Low Risk,,Good
Average,,23.6,50.75,1.17,2.1,2.57,62.77,32542.87,98,32542.73,100738.23,45.439052,-75.658895,,,,,,,,,St. Anne/ Monfort Vanier,Low Risk,,Good
