Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Morning Average,,,,,,,26.87,46.74,4.5,6.6,7.5,21.56,32593.3,-19.12,32583.8,101156.8,45.409088,-75.686736,,,,,,1,Strathcona,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,29.66333333,54.98333333,10.8,15.16666667,15.96666667,138.9433333,32489.9,155.3666667,32518.53333,100287.4333,45.409088,-75.686736,,,,,,6,Strathcona,Site B,Moderate Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,29.66333333,54.98333333,10.8,15.16666667,15.96666667,138.9433333,32489.9,155.3666667,32518.53333,100287.4333,45.409088,-75.686736,,,,,,6,Strathcona,Site B,Moderate Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,26.87,46.74,4.5,6.6,7.5,21.56,32593.3,-19.12,32583.8,101156.8,45.409088,-75.686736,,,,,,1,Strathcona,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,28.26666667,50.86166667,7.65,10.88333334,11.73333334,80.25166665,32541.6,68.12333335,32551.16667,100722.1167,45.409088,-75.686736,,,,,,3.5,Strathcona,Site B,Moderate Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 4,08/23/2020 16:17:12,23-Aug-20,16:17,Afternoon,7,Weekend,31,46.03,8.23,11.13,12.1,158.3,32424.53,117.36,32495.67,100836.7,45.479651,-75.516367,,,,,,7,Place D'Orléans - Play Care Center,Site A,High Risk,O3 level higher than standard,,,,,,,,,,,,,
Bad site,,,,Morning,6,Weekend,,,,,,,,,,,45.479651,-75.516367,,,,,,,Place D'Orléans - Play Care Center,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.479651,-75.516367,,,,,,,Place D'Orléans - Play Care Center,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.479651,-75.516367,,,,,,,Place D'Orléans - Play Care Center,Site A,Low Risk,,,,,,,,,,,,,,
